Column,Missing Count,Missing Percentage,Missing Severity
AGE,5945,59.45,High Missing
INCOME,3259,32.59,High Missing
CAPE: ETHNIC: POP: % HISPANIC,2872,28.720000000000002,Moderate Missing
CAPE: HOMVAL: OOHU: MEDIAN HOME VALUE,2872,28.720000000000002,Moderate Missing
CAPE: CHILD: HH: % WITH PERSONS LT18,2872,28.720000000000002,Moderate Missing
CAPE: CHILD: HH: % MARR COUPLE FAMW- PERSONS LT18,2872,28.720000000000002,Moderate Missing
CAPE: CHILD: HH: % MARR COUPLE FAMW-O PERSONS LT18,2872,28.720000000000002,Moderate Missing
CAPE: LANG: HH: % SPANISH SPEAKING,2872,28.720000000000002,Moderate Missing
CAPE: EDUC: POP25+: MEDIAN EDUCATION ATTAINED,2872,28.720000000000002,Moderate Missing
CAPE: TENANCY: OCCHU: % OWNER OCCUPIED,2872,28.720000000000002,Moderate Missing
CAPE: BUILT: HU: MEDIAN HOUSING UNIT AGE,2872,28.720000000000002,Moderate Missing
CAPE: HHSIZE: HH: AVERAGE HOUSEHOLD SIZE,2872,28.720000000000002,Moderate Missing
CAPE: TENANCY: OCCHU: % RENTER OCCUPIED,2872,28.720000000000002,Moderate Missing
CAPE: EDUC: ISPSA,2872,28.720000000000002,Moderate Missing
CAPE: EDUC: ISPSA DECILE,2872,28.720000000000002,Moderate Missing
CAPE: INC: FAMILY INC STATE DECILE,2872,28.720000000000002,Moderate Missing
CAPE: TYP: HH: % MARRIED COUPLE FAMILY,2872,28.720000000000002,Moderate Missing
CAPE: INC: HH: MEDIAN FAMILY HOUSEHOLD INCOME,2872,28.720000000000002,Moderate Missing
CAPE: DENSITY: PERSONS PER HH FOR POP IN HH,2872,28.720000000000002,Moderate Missing
CAPE: ETHNIC: POP: % ASIAN ONLY,2872,28.720000000000002,Moderate Missing
CAPE: ETHNIC: POP: % BLACK ONLY,2872,28.720000000000002,Moderate Missing
CAPE: ETHNIC: POP: % WHITE ONLY,2872,28.720000000000002,Moderate Missing
CAPE: AGE: POP: % 65-99+,2872,28.720000000000002,Moderate Missing
CAPE: AGE: POP: % 18-99+,2872,28.720000000000002,Moderate Missing
CAPE: AGE: POP: % 0-17,2872,28.720000000000002,Moderate Missing
CAPE: AGE: POP: MEDIAN AGE,2872,28.720000000000002,Moderate Missing
NUMBER OF ADULTS IN LIVING UNIT,2872,28.720000000000002,Moderate Missing
NUMBER OF PERSONS IN LIVING UNIT,2872,28.720000000000002,Moderate Missing
LENGTH OF RESIDENCE,2872,28.720000000000002,Moderate Missing
MOSAIC,1868,18.68,Moderate Missing
CLOSESTSTOREDISTANCE,1545,15.45,Moderate Missing
TENURE_IN_MONTHS,66,0.66,Low Missing
STATE,59,0.59,Low Missing
